note_id,split,prompt_hash,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,prompt_eval_count,eval_count,latency_ms
synthea-00001,synthea-dev,4a12e591887cb690,2,7,1,6,1,9.1,0.912,176,206,6203.0
synthea-00002,synthea-dev,3cda1d3326744782,2,13,2,11,0,0.0,0.806,175,108,3320.7
synthea-00003,synthea-dev,217282e500760e3e,2,11,2,9,0,9.1,0.793,169,121,3744.4
synthea-00005,synthea-dev,6fdad7abffb36eea,2,10,2,8,0,0.0,0.753,176,98,3082.1
synthea-00006,synthea-dev,c806efcc1f6511da,2,7,2,5,0,0.0,0.907,176,234,7030.2
synthea-00007,synthea-dev,6bd5ee1f82a7628b,2,7,2,5,0,0.0,0.868,176,190,5757.2
synthea-00008,synthea-dev,4d30a4429f6e396c,2,16,2,14,0,0.0,0.792,176,168,5101.9
synthea-00009,synthea-dev,8ae195af2cfab325,2,13,2,11,0,0.0,0.770,176,81,2557.6
synthea-00010,synthea-dev,dac59f1d5d02a45f,2,9,2,7,0,0.0,0.841,176,197,5909.8
synthea-00011,synthea-dev,57bb400f1041c486,2,12,2,10,0,0.0,0.789,176,170,5104.9
synthea-00012,synthea-dev,941bdb2180799475,2,8,2,6,0,0.0,0.915,176,200,5949.6
synthea-00013,synthea-dev,a674e03249dc67aa,2,9,2,7,0,0.0,0.838,176,238,7082.4
synthea-00014,synthea-dev,3ead84f68e726f66,2,7,2,5,0,0.0,0.861,176,161,4965.5
synthea-00015,synthea-dev,830fe6f7aa0382a0,2,11,2,9,0,0.0,0.801,175,153,4662.6
synthea-00016,synthea-dev,7a815c6845a78e9a,2,8,2,6,0,0.0,0.829,176,83,2624.8
synthea-00019,synthea-dev,b32ff206376a6af7,2,12,2,10,0,0.0,0.911,175,209,6300.4
synthea-00020,synthea-dev,ff543418f7ec8b87,2,10,2,8,0,0.0,0.861,175,170,5224.1
synthea-00021,synthea-dev,0a4451c38b093770,2,15,2,13,0,0.0,0.791,176,118,3621.9
synthea-00022,synthea-dev,a9d6416bbb18c369,2,11,2,9,0,0.0,0.905,176,146,4428.9
synthea-00023,synthea-dev,941edefc48e470f6,2,10,2,8,0,0.0,0.839,176,140,4244.9
synthea-00024,synthea-dev,5eb086fff0548357,2,8,2,6,0,0.0,0.874,176,184,5515.4
synthea-00025,synthea-dev,c7e379a88ab67c4d,2,13,2,11,0,0.0,0.829,176,143,4359.3
synthea-00026,synthea-dev,20aa9477841bec8a,2,6,2,4,0,0.0,0.762,175,95,2918.4
synthea-00029,synthea-dev,c4a5f4e6b1abee87,2,13,2,11,0,0.0,0.882,175,207,6198.0
synthea-00030,synthea-dev,618117a44b609c1c,2,12,2,10,0,0.0,0.828,176,132,4061.4
synthea-00031,synthea-dev,ea640a5125fa1aaa,2,10,2,8,0,0.0,0.906,176,167,5021.4
synthea-00032,synthea-dev,0d9c31682dcb5038,2,8,2,6,0,0.0,0.911,176,217,6423.1
synthea-00033,synthea-dev,93100d3c228939bc,2,8,2,6,0,0.0,0.870,176,206,6205.2
synthea-00034,synthea-dev,e0cfd544b03e3c70,2,10,2,8,0,0.0,0.833,176,183,5533.9
synthea-00035,synthea-dev,77830c44cbcca037,2,15,2,13,0,0.0,0.865,176,155,4677.0
synthea-00036,synthea-dev,7f1fb84e1ac252c8,2,5,2,3,0,0.0,0.896,157,193,5779.6
synthea-00037,synthea-dev,38dc601618f67e8e,2,12,2,10,0,0.0,0.855,176,172,5178.5
