profile,seed,per,upr,tsr,latency_ms
Balanced,17,9.5785,0.9373,0.9167,39.4759
Balanced,29,9.3956,0.9357,0.9140,40.6730
Balanced,43,9.7333,0.9393,0.9179,42.2071
Balanced,71,9.7159,0.9391,0.9190,40.7249
Balanced,101,9.6504,0.9386,0.9180,41.1255
Lenient,17,12.8772,0.9657,0.9459,27.3323
Lenient,29,13.2186,0.9693,0.9481,30.7066
Lenient,43,12.8051,0.9650,0.9436,30.6056
Lenient,71,12.8594,0.9659,0.9450,28.4832
Lenient,101,12.8477,0.9659,0.9449,28.0480
Strict,17,7.6699,0.8881,0.8770,64.0392
Strict,29,7.8737,0.8886,0.8791,61.9116
Strict,43,7.7208,0.8876,0.8766,62.1615
Strict,71,7.5952,0.8873,0.8762,63.5589
Strict,101,7.4692,0.8856,0.8753,62.9769
